text,teks_bersih,teks_normal,teks_stopwords,teks_stemmed,teks_terjemah
"​ @AkunBaru-u2u omg bocil caleb, you such a cutie person, ❤❤",akunbaruuu omg bocil caleb you such a cutie person,akunbaruuu omg bocil caleb you such a cutie person,akunbaruuu omg bocil caleb you such a cutie person,akunbaruuu omg bocil caleb you such a cutie person,"new account omg what a kid, Caleb you are such a cutie person"
Witch cry 2 kapn bng,witch cry kapn bng,witch cry kapn bng,witch cry kapn bng,witch cry kapn bng,witch cry when bro
 @WindahBasudara  makasih bang,windahbasudara makasih bang,windahbasudara makasih bang,windahbasudara makasih bang,windahbasudara makasih bang,windahbasudara thank you bro
"​@FebrianPutraTriatama yaudah sih bang, kan emang cakep semua",febrianputratriatama yaudah sih bang kan emang cakep semua,febrianputratriatama yaudah sih bang kan emang cakep semua,febrianputratriatama yaudah sih bang emang cakep,febrianputratriatama yaudah sih bang emang cakep,"Febrianputratriatama, yes, bro, he's really cute"
Bang klo mau cari game cozy open world kyk genshin coba main Infinity Nikki (ga maksa yah),bang klo mau cari game cozy open world kyk genshin coba main infinity nikki ga maksa yah,bang klo mau cari game cozy open world kyk genshin coba main infinity nikki ga maksa yah,bang klo cari game cozy open world kyk genshin coba main infinity nikki ga maksa yah,bang klo cari game cozy open world kyk genshin coba main infinity nikki ga maksa yah,"Bro, if you're looking for a cozy open world game like Genshin, try playing Infinity Nikki, don't force it"
GG bang aku bocil rafayel,gg bang aku bocil rafayel,gg bang aku bocil rafayel,gg bang bocil rafayel,gg bang bocil rafayel,gg bro little boy rafayel
Nice!!,nice,nice,nice,nice,nice
Bang windah main dong moonlight crush ada bahasa indonesia game story pacaran,bang windah main dong moonlight crush ada bahasa indonesia game story pacaran,bang windah main dong moonlight crush ada bahasa indonesia game story pacaran,bang windah main moonlight crush bahasa indonesia game story pacaran,bang windah main moonlight crush bahasa indonesia game story pacar,Bang Windah main Moonlight Crush Indonesian language game story boyfriend
tengkiyu dah ngasih spoilernya bang 😂👍 dari dulu masih mikir2 main ini game,tengkiyu dah ngasih spoilernya bang dari dulu masih mikir main ini game,tengkiyu dah ngasih spoilernya bang dari dulu masih mikir main ini game,tengkiyu dah ngasih spoilernya bang mikir main game,tengkiyu dah ngasih spoilernya bang mikir main game,"Tengkiyu has given the spoiler bro, thinking about playing the game"
bang plis main fear and hunger yg game kedua bang aku bocil fear and hunger,bang plis main fear and hunger yg game kedua bang aku bocil fear and hunger,bang tolong main fear and hunger yang game kedua bang aku bocil fear and hunger,bang tolong main fear and hunger game bang bocil fear and hunger,bang tolong main fear and hunger game bang bocil fear and hunger,"bro, please play the fear and hunger game, bro, kid, fear and hunger"
Bang aku tungguhin caleb atory nya,bang aku tungguhin caleb atory nya,bang aku tungguhin caleb atory nya,bang tungguhin caleb atory nya,bang tungguhin caleb atory nya,"bro, wait for the caleb atory"
keren bang aku istri sylus,keren bang aku istri sylus,keren bang aku istri sylus,keren bang istri sylus,keren bang istri sylus,Sylus's wife is cool
Lanjutt bang main game ini :D,lanjutt bang main game ini d,lanjutt bang main game ini d,lanjutt bang main game d,lanjutt bang main game d,continue playing games bro d
"Bang lanjutin game bang seret dong bang plis, udh seskreb laik n komen nih",bang lanjutin game bang seret dong bang plis udh seskreb laik n komen nih,bang lanjutin game bang seret dong bang tolong udh seskreb laik n komen nih,bang lanjutin game bang seret bang tolong udh seskreb laik n komen nih,bang lanjutin game bang seret bang tolong udh seskreb laik n komen nih,"bro, continue the game bro, drag it bro, please make it as creative as possible and comment"
You're welcome. Sebenernya tadinya aku tim Xavier - Rafael (not your type) tapi setuju Caleb keren banget huhu,youre welcome sebenernya tadinya aku tim xavier rafael not your type tapi setuju caleb keren banget huhu,youre welcome sebenernya tadinya aku tim xavier rafael not your type tapi setuju caleb keren banget huhu,youre welcome sebenernya tim xavier rafael not your type setuju caleb keren banget huhu,youre welcome sebenernya tim xavier rafael not your type tuju caleb keren banget huhu,you're welcome actually xavier rafael team not your type caleb's goal is really cool huhu
"Main lagi bang, masih nungguin part 2 sampe sekarang😔",main lagi bang masih nungguin part sampe sekarang,main lagi bang masih nungguin part sampe sekarang,main bang nungguin part sampe,main bang nungguin part sampe,"I'm playing, waiting for the part to arrive"
BANG MANA JANJIMU YANG MW COBAIN STORYNYA CALEB 🙄🙄,bang mana janjimu yang mw cobain storynya caleb,bang mana janjimu yang mw cobain storynya caleb,bang janjimu mw cobain storynya caleb,bang janji mw cobain storynya caleb,"Bro, promise I'll try Caleb's story"
ohmayygot,ohmayygot,ohmayygot,ohmayygot,ohmayygot,ohmayygot
bang lanjutin itu juga plisss,bang lanjutin itu juga plisss,bang lanjutin itu juga plisss,bang lanjutin plisss,bang lanjutin plisss,"bro, continue pls"
Aku bocil semuanya bangg,aku bocil semuanya bangg,aku bocil semuanya bangg,bocil bangg,bocil bangg,I'm so stupid
Keren banget game ya aku suka bang,keren banget game ya aku suka bang,keren banget game ya aku suka bang,keren banget game ya suka bang,keren banget game ya suka bang,"Very cool game, I like it bro"
Typo meski sudah diedit,typo meski sudah diedit,typo meski sudah diedit,typo diedit,typo edit,typo edit
 @WindahBasudara  cara bisa main gem homichiper gimana bang?,windahbasudara cara bisa main gem homichiper gimana bang,windahbasudara cara bisa main gem homichiper gimana bang,windahbasudara main gem homichiper gimana bang,windahbasudara main gem homichiper gimana bang,how do you play gem homichiper bro?
"Gg bang thank you juga, lanjutin lagi dong wkwk dri bocil caleb",gg bang thank you juga lanjutin lagi dong wkwk dri bocil caleb,gg bang thank you juga lanjutin lagi dong tertawa dri bocil caleb,gg bang thank you lanjutin tertawa dri bocil caleb,gg bang thank you lanjutin tertawa dri bocil caleb,"gg bro, thank you, continue laughing from Bocil Caleb"
Makasih boy,makasih boy,makasih boy,makasih boy,makasih boy,thanks boy
Lanjutin banggg gameeee nyaaa,lanjutin banggg gameeee nyaaa,lanjutin banggg gameeee nyaaa,lanjutin banggg gameeee nyaaa,lanjutin banggg gameeee nyaaa,keep going with your gameeee nyaaa
Bang i love dedemit,bang i love dedemit,bang i love dedemit,bang i love dedemit,bang i love dedemit,"bro, I love you"
Terlahir kembali sebagai  uchiha windah 🗿,terlahir kembali sebagai uchiha windah,terlahir kembali sebagai uchiha windah,terlahir uchiha windah,lahir uchiha windah,Uchiha Windah was born
"Baru lanjut nonton, gelo bg 1jt",baru lanjut nonton gelo bg jt,baru lanjut nonton gelo bang jt,nonton gelo bang jt,nonton gelo bang jt,watch gelo bro jt
"@FebrianPutraTriatama selera ganteng orang-orang beda-beda, bukan berarti lu bilang dia ganteng semua oranh bkln setuju, begitu pula sebaliknya.",febrianputratriatama selera ganteng orangorang bedabeda bukan berarti lu bilang dia ganteng semua oranh bkln setuju begitu pula sebaliknya,febrianputratriatama selera ganteng orangorang bedabeda bukan berarti lu bilang dia ganteng semua oranh bkln setuju begitu pula sebaliknya,febrianputratriatama selera ganteng orangorang bedabeda lu bilang ganteng oranh bkln setuju,febrianputratriatama selera ganteng orangorang bedabeda lu bilang ganteng oranh bkln tuju,febrianputratriatama tastes in handsome people are different you say handsome people don't go for it
PLIS CALEB BANG 😭😭😭,plis caleb bang,tolong caleb bang,tolong caleb bang,tolong caleb bang,"Caleb, please bro"
 @MarsellAzuela   Caleg itu nyalonin diri kan,marsellazuela caleg itu nyalonin diri kan,marsellazuela caleg itu nyalonin diri kan,marsellazuela caleg nyalonin,marsellazuela caleg nyalonin,marsellazuela legislative candidate running for office
"​@FebrianPutraTriatama ya trs? emng ad yg peduli ganteng atau gk? disini hnya untuk have fun bkn buat nge banding²in ganteng itu ganteng ini, gausah oot beda lapak disini bahas game love and deepspace BUKAN game efootball",febrianputratriatama ya trs emng ad yg peduli ganteng atau gk disini hnya untuk have fun bkn buat nge bandingin ganteng itu ganteng ini gausah oot beda lapak disini bahas game love and deepspace bukan game efootball,febrianputratriatama ya trs emng ad yang peduli ganteng atau gk disini hnya untuk have fun bkn buat nge bandingin ganteng itu ganteng ini gausah oot beda lapak disini bahas game love and deepspace bukan game efootball,febrianputratriatama ya trs emng ad peduli ganteng gk hnya have fun bkn nge bandingin ganteng ganteng gausah oot beda lapak bahas game love and deepspace game efootball,febrianputratriatama ya trs emng ad peduli ganteng gk hnya have fun bkn nge bandingin ganteng ganteng gausah oot beda lapak bahas game love and deepspace game efootball,February
" @WindahBasudara   stop spam, aku lebih ganteng dari pada game ini maupun semua game, tapi kamu ada benernya Febri ini game halu sakit akut,  tapi nikmatin aja daripada diserang bocil halu.",windahbasudara stop spam aku lebih ganteng dari pada game ini maupun semua game tapi kamu ada benernya febri ini game halu sakit akut tapi nikmatin aja daripada diserang bocil halu,windahbasudara stop spam aku lebih ganteng dari pada game ini maupun semua game tapi kamu ada benernya febri ini game halu sakit akut tapi nikmatin saja daripada diserang bocil halu,windahbasudara stop spam ganteng game game benernya febri game halu sakit akut nikmatin diserang bocil halu,windahbasudara stop spam ganteng game game benernya febri game halu sakit akut nikmatin serang bocil halu,windahbasudara stop spam handsome game game febri game halu acute pain enjoy serang bocil halu
 @WindahBasudara  gg bang aku bocil zayne,windahbasudara gg bang aku bocil zayne,windahbasudara gg bang aku bocil zayne,windahbasudara gg bang bocil zayne,windahbasudara gg bang bocil zayne,windahbasudara gg bang bocil zayne
Makasi bang,makasi bang,makasi bang,makasi bang,makas bang,thanks bro
Storynya Caleb bang. Seru pollll,storynya caleb bang seru pollll,storynya caleb bang seru pollll,storynya caleb bang seru pollll,storynya caleb bang seru pollll,"Caleb's story is really exciting, bro"
GG bangggg di tunggu yg versi caleb nyaaaaaaa,gg bangggg di tunggu yg versi caleb nyaaaaaaa,gg bangggg di tunggu yang versi caleb nyaaaaaaa,gg bangggg tunggu versi caleb nyaaaaaaa,gg bangggg tunggu versi caleb nyaaaaaaa,gg excitedly waiting for Caleb's version
"bang windah aku download lad karna yg cyborg caleb, lanjutin yaa bang storynya, up level biar lanjut story yang duluu",bang windah aku download lad karna yg cyborg caleb lanjutin yaa bang storynya up level biar lanjut story yang duluu,bang windah aku download lad karna yang cyborg caleb lanjutin yaa bang storynya up level biar lanjut story yang duluu,bang windah download lad karna cyborg caleb lanjutin yaa bang storynya up level biar story duluu,bang windah download lad karna cyborg caleb lanjutin yaa bang storynya up level biar story duluu,"Bro, Windah, download lad because of Cyborg Caleb, please continue, bro, the story is up to level so the story goes first"
Aku menunggu live nya tapi aku jga telat  Kerna lagi kerja 😭😭🤣,aku menunggu live nya tapi aku jga telat kerna lagi kerja,aku menunggu live nya tapi aku jga telat kerna lagi kerja,menunggu live nya jga telat kerna kerja,tunggu live nya jga telat kerna kerja,"Wait for the live, don't be late for work"
"​@FebrianPutraTriatama Yaahh bacoootttt😮, gausah bawa2 opini lu, terserah bang windah dia mau bilang Gantengan yg mana, kalau menurut lu Gantengan game yg itu Yaudah, lagipun cewek2 kan cuma ngatain cowok yang iri, kalau lu tersinggung berarti lu juga iri dong🤪",febrianputratriatama yaahh bacoootttt gausah bawa opini lu terserah bang windah dia mau bilang gantengan yg mana kalau menurut lu gantengan game yg itu yaudah lagipun cewek kan cuma ngatain cowok yang iri kalau lu tersinggung berarti lu juga iri dong,febrianputratriatama yaahh bacoootttt gausah bawa opini lu terserah bang windah dia mau bilang gantengan yang mana kalau menurut lu gantengan game yang itu yaudah lagipun cewek kan cuma ngatain cowok yang iri kalau lu tersinggung berarti lu juga iri dong,febrianputratriatama yaahh bacoootttt gausah bawa opini lu terserah bang windah bilang gantengan lu gantengan game yaudah lagipun cewek ngatain cowok iri lu tersinggung lu iri,febrianputratriatama yaahh bacoootttt gausah bawa opini lu serah bang windah bilang ganteng lu ganteng game yaudah lagi cewek ngatain cowok iri lu singgung lu iri,February
GG bang aku bocil rafayel,gg bang aku bocil rafayel,gg bang aku bocil rafayel,gg bang bocil rafayel,gg bang bocil rafayel,gg bro little boy rafayel
BANG KAPAN STORY CALEB BANG,bang kapan story caleb bang,bang kapan story caleb bang,bang story caleb bang,bang story caleb bang,"bro, caleb's story bro"
LANJUTIN HOMICIPHER BNGGG,lanjutin homicipher bnggg,lanjutin homicipher bnggg,lanjutin homicipher bnggg,lanjutin homicipher bnggg,keep going bro homicipher
TY BANG,ty bang,ty bang,ty bang,ty bang,Ty bro
BANG ayo main lagi mumpung banner lagi specialnya Zayneee,bang ayo main lagi mumpung banner lagi specialnya zayneee,bang ayo main lagi mumpung banner lagi specialnya zayneee,bang ayo main mumpung banner specialnya zayneee,bang ayo main mumpung banner specialnya zayneee,"Bro, let's play while the special banner is Zayneee"
" @WindahBasudara  BANG WINDAHH, LANJUTIN YG CALEBB BANG, SKIN TERBARUNYA CALEB KEREN BANGET LOH EFEKNYAA",windahbasudara bang windahh lanjutin yg calebb bang skin terbarunya caleb keren banget loh efeknyaa,windahbasudara bang windahh lanjutin yang calebb bang skin terbarunya caleb keren banget loh efeknyaa,windahbasudara bang windahh lanjutin calebb bang skin terbarunya caleb keren banget loh efeknyaa,windahbasudara bang windahh lanjutin calebb bang skin baru caleb keren banget loh efeknyaa,"windahbasudara bro windahh keep going calebb bro caleb's new skin is really cool, the effect is really cool"
CEPET BANG COBA STORY CALEBBB,cepet bang coba story calebbb,cepet bang coba story calebbb,cepet bang coba story calebbb,cepet bang coba story calebbb,"Quick bro, try the story calebbb"
Bang main ini lagi doonggggss😭😭😭🙏🙏🙏🙏,bang main ini lagi doonggggss,bang main ini lagi doonggggss,bang main doonggggss,bang main doonggggss,"Bro, play please"
Bang ayo yg calleb bang,bang ayo yg calleb bang,bang ayo yang calleb bang,bang ayo calleb bang,bang ayo calleb bang,"bro, come on, call me bro"
😊😊,,,,,
"BAAANGGG ayooo coba storynya caleebb!! Tanggal 28 maret kemarin, ada myth baru dia diriliss!!",baaanggg ayooo coba storynya caleebb tanggal maret kemarin ada myth baru dia diriliss,baaanggg ayooo coba storynya caleebb tanggal maret kemarin ada myth baru dia diriliss,baaanggg ayooo coba storynya caleebb tanggal maret kemarin myth diriliss,baaanggg ayooo coba storynya caleebb tanggal maret kemarin myth diriliss,"Baaanggg, come on, try the story, Caleebb, last March, Myth was released"
Bang kalo gak salah si eve sama sylus bang,bang kalo gak salah si eve sama sylus bang,bang kalo gak salah si eve sama sylus bang,bang kalo gak salah si eve sylus bang,bang kalo gak salah si eve sylus bang,"Bro, if I'm not mistaken, it's Eve Sylus, bro"
😘,,,,,
Girls 💅🏻🌺,girls,girls,girls,girls,girls
Makasih bang ☺☺☺☺,makasih bang,makasih bang,makasih bang,makasih bang,thanks bro
keren bg,keren bg,keren bang,keren bang,keren bang,cool bro
lanjut dong bang game homiciper nya,lanjut dong bang game homiciper nya,lanjut dong bang game homiciper nya,bang game homiciper nya,bang game homiciper nya,"bro, the homiciper game"
"inget di menit 2:58:28, yg ngeyel🤢🤮",inget di menit yg ngeyel,inget di menit yang ngeyel,inget menit ngeyel,inget menit ngeyel,remember the annoying minutes
banyakin koleksi game cewe bang😭,banyakin koleksi game cewe bang,banyakin koleksi game cewe bang,banyakin koleksi game cewe bang,banyakin koleksi game cewe bang,Big collection of games for girls bro
"Thank you bangg, salam dari bocil rafayel✌🏻✌🏻✌🏻",thank you bangg salam dari bocil rafayel,thank you bangg salam dari bocil rafayel,thank you bangg salam bocil rafayel,thank you bangg salam bocil rafayel,"thank you, bro, greetings from Bocil Rafayel"
Bang sekalian buka bond nya Sylus yg MC nyelinap ke kamar Sylus 😭,bang sekalian buka bond nya sylus yg mc nyelinap ke kamar sylus,bang sekalian buka bond nya sylus yang mc nyelinap ke kamar sylus,bang buka bond nya sylus mc nyelinap kamar sylus,bang buka bond nya sylus mc nyelinap kamar sylus,"Bro, open the bond, Sylus MC sneaks into Sylus' room"
@JustHan22  eh iyaa ini lucu bgt bang😭,justhan eh iyaa ini lucu bgt bang,justhan eh iyaa ini lucu banget bang,justhan eh iyaa lucu banget bang,justhan eh iyaa lucu banget bang,"Justhan eh yes, it's really funny bro"
 @WindahBasudara  mending main ini aja bang dripda lanjutin game tdi,windahbasudara mending main ini aja bang dripda lanjutin game tdi,windahbasudara mending main ini saja bang dripda lanjutin game tdi,windahbasudara mending main bang dripda lanjutin game tdi,windahbasudara mending main bang dripda lanjutin game tdi,windahbasudara better play bro dripda continue the game
"game kesukaan cewe mulu bg yg di mainin, kali kali gitu game kesukaan cowo di mainin",game kesukaan cewe mulu bg yg di mainin kali kali gitu game kesukaan cowo di mainin,game kesukaan cewe mulu bang yang di mainin kali kali gitu game kesukaan cowo di mainin,game kesukaan cewe mulu bang mainin kali kali gitu game kesukaan cowo mainin,game suka cewe mulu bang mainin kali kali gitu game suka cowo mainin,"It's a game that girls like to play, bro, it's a game that guys like to play"
udah sering kocak ​ @ViannKaramoyy ,udah sering kocak viannkaramoyy,sudah sering kocak viannkaramoyy,kocak viannkaramoyy,kocak viannkaramoyy,hilarious viannkaramoyy
"​ @ViannKaramoyy udah sering anjir, game cewe kan baru dimainin 2 kali, homichiper sama ini",viannkaramoyy udah sering anjir game cewe kan baru dimainin kali homichiper sama ini,viannkaramoyy sudah sering anjir game cewe kan baru dimainin kali homichiper sama ini,viannkaramoyy anjir game cewe dimainin kali homichiper,viannkaramoyy anjir game cewe dimainin kali homichiper,viannkaramoyy anjir game for girls played this time homichiper
ahayy😮,ahayy,ahayy,ahayy,ahayy,ahayy
daripada lu pribumi,daripada lu pribumi,daripada lu pribumi,lu pribumi,lu pribumi,you're native
🎉,,,,,
Lanjutin story kalo mau ketemu sama Caleb 😢😢,lanjutin story kalo mau ketemu sama caleb,lanjutin story kalo mau ketemu sama caleb,lanjutin story kalo ketemu caleb,lanjutin story kalo ketemu caleb,Continue the story if you meet Caleb
Boy Winda bersaudara kenapa nggak sekalian main Roblox,boy winda bersaudara kenapa nggak sekalian main roblox,boy winda bersaudara kenapa nggak sekalian main roblox,boy winda bersaudara nggak main roblox,boy winda saudara nggak main roblox,"Boy Winda, you don't play Roblox"
Jgan bng,jgan bng,jgan bng,jgan bng,jgan bng,don't bro
Zayne,zayne,zayne,zayne,zayne,Zayne
Cewek yg nonton  ini,cewek yg nonton ini,cewek yang nonton ini,cewek nonton,cewek nonton,girl watching
"udah hampir setahun gue rewatch ini lagi wkwk, semoga ada part 2 bang windah main ini, mainin story caleb",udah hampir setahun gue rewatch ini lagi wkwk semoga ada part bang windah main ini mainin story caleb,sudah hampir setahun gue rewatch ini lagi tertawa semoga ada part bang windah main ini mainin story caleb,setahun gue rewatch tertawa semoga part bang windah main mainin story caleb,tahun gue rewatch tertawa moga part bang windah main mainin story caleb,"This year I'm rewatching and laughing, hopefully Bang Windah's part will play along with Caleb's story"
