teks_terjemah,Label_Asli,Prediksi_NB,Prediksi_SVM
"new account omg what a kid, Caleb you are such a cutie person",Positive,Positive,Positive
witch cry when bro,Neutral,Neutral,Neutral
windahbasudara thank you bro,Neutral,Neutral,Neutral
"Febrianputratriatama, yes, bro, he's really cute",Positive,Positive,Positive
"Bro, if you're looking for a cozy open world game like Genshin, try playing Infinity Nikki, don't force it",Negative,Neutral,Negative
gg bro little boy rafayel,Negative,Neutral,Negative
nice,Positive,Positive,Positive
Bang Windah main Moonlight Crush Indonesian language game story boyfriend,Negative,Negative,Negative
"Tengkiyu has given the spoiler bro, thinking about playing the game",Negative,Negative,Negative
"bro, please play the fear and hunger game, bro, kid, fear and hunger",Negative,Positive,Negative
"bro, wait for the caleb atory",Neutral,Neutral,Neutral
Sylus's wife is cool,Positive,Positive,Positive
continue playing games bro d,Neutral,Neutral,Neutral
"bro, continue the game bro, drag it bro, please make it as creative as possible and comment",Neutral,Neutral,Neutral
you're welcome actually xavier rafael team not your type caleb's goal is really cool huhu,Positive,Positive,Positive
"I'm playing, waiting for the part to arrive",Neutral,Neutral,Neutral
"Bro, promise I'll try Caleb's story",Neutral,Neutral,Neutral
ohmayygot,Neutral,Neutral,Neutral
"bro, continue pls",Neutral,Neutral,Neutral
I'm so stupid,Negative,Negative,Negative
"Very cool game, I like it bro",Positive,Positive,Negative
typo edit,Neutral,Neutral,Neutral
how do you play gem homichiper bro?,Neutral,Neutral,Neutral
"gg bro, thank you, continue laughing from Bocil Caleb",Neutral,Neutral,Neutral
thanks boy,Positive,Positive,Positive
keep going with your gameeee nyaaa,Neutral,Neutral,Neutral
"bro, I love you",Positive,Positive,Positive
Uchiha Windah was born,Neutral,Neutral,Neutral
watch gelo bro jt,Neutral,Neutral,Neutral
febrianputratriatama tastes in handsome people are different you say handsome people don't go for it,Positive,Positive,Positive
"Caleb, please bro",Neutral,Neutral,Neutral
marsellazuela legislative candidate running for office,Neutral,Neutral,Neutral
February,Neutral,Neutral,Neutral
windahbasudara stop spam handsome game game febri game halu acute pain enjoy serang bocil halu,Positive,Positive,Negative
windahbasudara gg bang bocil zayne,Neutral,Neutral,Neutral
thanks bro,Positive,Positive,Positive
"Caleb's story is really exciting, bro",Positive,Positive,Positive
gg excitedly waiting for Caleb's version,Positive,Neutral,Neutral
"Bro, Windah, download lad because of Cyborg Caleb, please continue, bro, the story is up to level so the story goes first",Positive,Neutral,Positive
"Wait for the live, don't be late for work",Negative,Negative,Negative
February,Neutral,Neutral,Neutral
gg bro little boy rafayel,Negative,Neutral,Negative
"bro, caleb's story bro",Neutral,Neutral,Neutral
keep going bro homicipher,Neutral,Neutral,Neutral
Ty bro,Neutral,Neutral,Neutral
"Bro, let's play while the special banner is Zayneee",Positive,Positive,Neutral
"windahbasudara bro windahh keep going calebb bro caleb's new skin is really cool, the effect is really cool",Positive,Positive,Positive
"Quick bro, try the story calebbb",Positive,Positive,Positive
"Bro, play please",Neutral,Neutral,Neutral
"bro, come on, call me bro",Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
"Baaanggg, come on, try the story, Caleebb, last March, Myth was released",Neutral,Neutral,Neutral
"Bro, if I'm not mistaken, it's Eve Sylus, bro",Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
girls,Neutral,Neutral,Neutral
thanks bro,Positive,Positive,Positive
cool bro,Positive,Positive,Positive
"bro, the homiciper game",Negative,Negative,Negative
remember the annoying minutes,Negative,Negative,Negative
Big collection of games for girls bro,Neutral,Neutral,Neutral
"thank you, bro, greetings from Bocil Rafayel",Neutral,Neutral,Neutral
"Bro, open the bond, Sylus MC sneaks into Sylus' room",Neutral,Neutral,Neutral
"Justhan eh yes, it's really funny bro",Positive,Positive,Positive
windahbasudara better play bro dripda continue the game,Positive,Positive,Positive
"It's a game that girls like to play, bro, it's a game that guys like to play",Negative,Negative,Negative
hilarious viannkaramoyy,Positive,Positive,Positive
viannkaramoyy anjir game for girls played this time homichiper,Negative,Positive,Negative
ahayy,Neutral,Neutral,Neutral
you're native,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
Continue the story if you meet Caleb,Neutral,Neutral,Neutral
"Boy Winda, you don't play Roblox",Neutral,Neutral,Neutral
don't bro,Neutral,Neutral,Neutral
Zayne,Neutral,Neutral,Neutral
girl watching,Neutral,Neutral,Neutral
"This year I'm rewatching and laughing, hopefully Bang Windah's part will play along with Caleb's story",Neutral,Neutral,Neutral
"Oh my gosh, look at this video and read the comments column Ciwi Indo Main",Positive,Positive,Positive
"bro, when to play love and deepspace",Positive,Positive,Positive
bro story caleb,Neutral,Neutral,Neutral
Bro Winduy Caleb's story,Neutral,Neutral,Neutral
It was really fun when I didn't feel like laughing but it was sad that Caleb wasn't unlocked,Negative,Positive,Positive
"bro, calm down",Positive,Positive,Positive
look late,Negative,Negative,Negative
calm down,Positive,Positive,Positive
"Bro, Caleb's story",Neutral,Neutral,Neutral
I swear I can't download RAM,Neutral,Neutral,Neutral
The charm of Sylus is that girls really like it,Positive,Positive,Positive
if you change to boy boy love bro,Positive,Positive,Positive
"saylus is good, my favorite is saylus",Positive,Positive,Positive
Kaa select the story under the yellow sylus,Neutral,Neutral,Neutral
Sis,Neutral,Neutral,Neutral
I'm leaving the size GB,Neutral,Neutral,Neutral
"Oh, being too late doesn't matter",Negative,Negative,Negative
"This game is really that fun, I really like it",Positive,Positive,Positive
o,Neutral,Neutral,Neutral
"I have no intention of continuing, bro",Neutral,Neutral,Neutral
"Call Caleb, bro, I'm ready",Positive,Neutral,Positive
"macho body, handsome face, aka my favorite caleb, bro",Positive,Positive,Positive
"Thank you, bro, Windah for playing this game, all of us",Negative,Positive,Negative
Bang Windah Islam said astagfirullah,Neutral,Neutral,Neutral
"Guys, I'm going to fill it in",Neutral,Neutral,Neutral
"bro, thanks for playing the game, I like the character Zayne, core, thank you bro",Negative,Positive,Negative
"Thanks for playing the game, thanks for not having double standards",Neutral,Positive,Positive
bro,Neutral,Neutral,Neutral
"I like the game, lads, I didn't install it because of the cellphone storage limit, really thank you, bro, Windah, thank you very much for playing the game",Negative,Negative,Negative
"Honestly, I know bro, Windah plays lads",Positive,Positive,Positive
I'm really nervous looking at it when I top it up,Positive,Positive,Positive
"Thank you bro for playing this game. Respect bro, Windahh, you made this part, bro",Negative,Neutral,Negative
I'm disgusted by games when I see you're so horrified that people can't read,Negative,Negative,Negative
I'm a guy who wants to play because of the graphic gameplay,Positive,Neutral,Neutral
,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
I'm going to vomit when I look at you bro,Neutral,Neutral,Neutral
carry on please bro,Neutral,Neutral,Neutral
The live opening made me laugh,Positive,Positive,Positive
"Play at the level of feeling, if the game is difficult, if you play for hours, you will find it difficult, difficult, easy, depending on each player",Negative,Negative,Negative
"Bro, I'm asking for Android, eat GB, yes, download it, eat GB, login GB minutes",Neutral,Neutral,Neutral
offline or not bro,Neutral,Neutral,Neutral
Are you really excited about continuing or not?,Positive,Positive,Positive
"In fact, Sylus is a serious green flag, just covering his face laughing",Negative,Neutral,Negative
that's a different genre,Neutral,Neutral,Neutral
"Bro, what's the story pls?",Neutral,Neutral,Neutral
If you unlock Caleb main story Homecoming Wings,Positive,Neutral,Positive
"I swear, I really laughed when Winda said that if Evol is the word water, fire is God Sea",Positive,Positive,Positive
"bro, play the game dungg mw chapter homecoming wings story cyborg bro",Negative,Neutral,Negative
I didn't expect Windah to play Lads,Neutral,Neutral,Neutral
bangh ken bangh windah continue this,Neutral,Neutral,Neutral
I don't have a sound,Positive,Positive,Positive
the game is handsome and beautiful,Positive,Positive,Positive
squirt watching bro,Neutral,Neutral,Neutral
"I can't play English, wow, by the way, changing to Indonesian doesn't work",Positive,Negative,Negative
a syluss,Neutral,Neutral,Neutral
"yes, bro, bro",Neutral,Neutral,Neutral
Reizqqa I'm sad I can't play,Negative,Neutral,Neutral
"MJB Yes, bro, I've updated GB",Neutral,Neutral,Neutral
caeelume sis I really like it gb,Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
please plsss,Neutral,Neutral,Neutral
Bang Windah's expression makes you laugh,Positive,Positive,Positive
wait part,Neutral,Neutral,Neutral
I have a sylus,Neutral,Neutral,Neutral
i love it when straight men get flustered over fictional hot men,Positive,Positive,Positive
love and deepspace you too,Positive,Positive,Positive
love and deepspace good morning how was go ahead and get u and deepspace bts world like love you too we can go for it on your own and deepspace bts reaction on your porch or good for a quick walk and white rice and beans for it works for me infinity xpad,Positive,Positive,Positive
"People hate this game, people hate this game because the characters are less competitive",Negative,Negative,Negative
"bro, keep going, bro",Neutral,Neutral,Neutral
"Guys can even teach PDKT games so they don't get cringy, thanks bro",Positive,Positive,Positive
play bro,Neutral,Neutral,Neutral
"Thank you bro, for playing the game, you understand a little bit of the game, bro",Negative,Negative,Negative
"the title of the song is love and deepspace, sung by Sarah Brightman, the song is really good",Positive,Positive,Positive
male gwee njirrr,Neutral,Neutral,Neutral
continue playing bro,Neutral,Neutral,Neutral
"Join me and see Bro Windah's expression in the romance battle scene, the romance battle scene is crazy, I've never played this so exciting",Negative,Positive,Negative
"Thank you, Bang Windah. There's nothing wrong with this game",Negative,Negative,Negative
playing my girlfriend's game,Negative,Positive,Negative
Rafayel left read Rafayel UI student Zayne thought Zayne was playing around with Xavier being a recall worker,Neutral,Neutral,Neutral
Eve,Neutral,Neutral,Neutral
lockert,Neutral,Neutral,Neutral
evelym,Neutral,Neutral,Neutral
brutal nosebleeds,Negative,Neutral,Neutral
,Neutral,Neutral,Neutral
I really laughed watching Bang Windah play the game thank you thank you laughing at the scene so sweet I really laughed with Bang Windah's expression until Nang,Positive,Positive,Positive
"Great laugh, bro, try downloading it, really",Positive,Positive,Positive
"I'm laughing out loud, the game is laughing smoothly",Positive,Positive,Positive
"You know, you press it bro",Neutral,Neutral,Neutral
"Let me use Caleb to play the story, bro, it's crazy, I really enjoyed watching it, thank you bro, accompany me to work at the office until lunch at the office",Negative,Neutral,Negative
please play,Neutral,Neutral,Neutral
"Yes, it's gay when the MC is Cwoo",Positive,Neutral,Positive
"Wow, that's a shame, Caleb opened the homecoming chapter, got it",Positive,Positive,Positive
,Neutral,Neutral,Neutral
ken play,Neutral,Neutral,Neutral
Sis Windah is playing embarrassed,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
insecure indonesian guy i feel bad for you,Negative,Negative,Negative
oh my gosh,Neutral,Neutral,Neutral
"laugh bro, I'm really stressed",Positive,Positive,Positive
"Bro, Windah is dizzy and the gatcha is laughing, bro, I'm really dizzy hahahaha",Positive,Positive,Positive
I laughed so much yeah,Positive,Neutral,Positive
"bro, let's continue love and deep space",Positive,Positive,Positive
"bro, try looking at the date",Neutral,Neutral,Neutral
"Bro, Windah, let's play Calebb's story again",Neutral,Neutral,Neutral
Men hate the old-fashioned world of traditional men's culture,Negative,Negative,Negative
the game adds the right anomaly to make it handsome,Positive,Positive,Positive
rafayel,Neutral,Neutral,Neutral
"Bro, if Caleb shows up at the cafe, open the story, Homecoming Wings will appear",Neutral,Neutral,Neutral
good at slippery money,Positive,Positive,Positive
sulis,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
Bang Windah is playing with a smile,Positive,Neutral,Neutral
aware of Sylus Aamon,Positive,Positive,Neutral
carry on bro,Neutral,Neutral,Neutral
funny content,Positive,Positive,Positive
guy bro,Neutral,Neutral,Neutral
My husband took Bang Windah,Neutral,Neutral,Neutral
Sylus bro,Neutral,Neutral,Neutral
sayluss i love you,Positive,Positive,Positive
"White hair is really scary, gess, you really laugh out loud",Negative,Positive,Positive
Xavier is my favorite character because he is so handsome,Positive,Positive,Positive
"he's all a guy, right?",Positive,Positive,Positive
"my friend got mad because he was thinking about this guy, gameliterally, I got infected thinking about Sylus",Negative,Neutral,Neutral
yo girls thanks girlssss,Positive,Positive,Positive
"bro, bro",Neutral,Neutral,Neutral
really funny pls,Positive,Positive,Positive
It's a good romantic game,Positive,Positive,Positive
"Bro, Sylus is really handsome",Positive,Positive,Positive
bggg hold it,Neutral,Neutral,Neutral
"rewatch it again, it's still funny, grepe sylus by the way, bro, windah, don't want to play, do you miss it?",Positive,Positive,Positive
Don't continue bro,Neutral,Neutral,Neutral
"Bro, Windah, continue Caleb's story, pls",Neutral,Neutral,Neutral
wanjir really played,Positive,Positive,Positive
"bro, continue with Caleb's story",Neutral,Neutral,Neutral
"Banggggg Caleb, bang the myth",Neutral,Neutral,Neutral
act of forced laughter,Negative,Negative,Negative
"Thank you for playing the game, I'm proud to watch the fun of playing games, Indonesian YouTuber lads",Positive,Positive,Negative
playing games makes you tantrum,Neutral,Neutral,Neutral
story calebb proud,Positive,Positive,Positive
play infinity nikki bang windah,Neutral,Neutral,Neutral
"I couldn't help but laugh when I saw Bro, Windah was so quiet that he dropped his jaw when Sylus appeared and laughed straight into auto ss",Positive,Positive,Positive
Syluss omggg so handsome coyyyyyy,Positive,Positive,Positive
I immediately got into the mood because I saw Bang Windah playing,Neutral,Neutral,Neutral
play bangstory caleb,Neutral,Neutral,Neutral
bro skin caleb mc antem carry let's play again,Neutral,Neutral,Neutral
you're commenting,Neutral,Neutral,Neutral
I love Zayne bro,Positive,Positive,Positive
dizayne no,Neutral,Neutral,Neutral
I want to stroke Xavier's chest,Neutral,Neutral,Neutral
"Bro, come on, let's continue",Neutral,Neutral,Neutral
Many bad girls comment on my husband,Negative,Neutral,Negative
"bro, thanks for playing the game",Negative,Positive,Negative
proud calebbbbplissss that's really sweet,Positive,Positive,Positive
windah famboy,Neutral,Neutral,Neutral
bro game,Negative,Negative,Negative
"bro, watch it",Neutral,Neutral,Neutral
"Guys, the spill ID is Windows, bro",Neutral,Neutral,Neutral
game write b english change ga to b indo so if the voice is good english please write to b indo or not like that,Positive,Positive,Positive
I really love Bro Windah's reaction to playing this game. He's trying so hard to entertain the female fans.,Negative,Positive,Negative
Alamak Rafayel has it,Neutral,Neutral,Neutral
"the name of the YouTuber hate game, look at the shape of the anomaly",Negative,Negative,Negative
Caleb is proud,Positive,Positive,Positive
ugh,Neutral,Neutral,Neutral
you're handsome,Positive,Positive,Positive
Anjay is ugly,Negative,Negative,Negative
bro,Neutral,Neutral,Neutral
"No, it's like Bang Windah said that guys should copy the behavior of game characters so that you will be a loser in treating girls with",Negative,Negative,Negative
"but there's nothing wrong with this game, playing while fasting, how do you focus, battle, play claw machine, play cards, upgrade memory cards, etc. stereotypes circulating around LBA games, blah, blah, it's true, thank you bro, windah, proof",Negative,Negative,Negative
"Caleb's story is really good, homecoming wings story",Positive,Positive,Positive
"bro, thanks, I can't play games, I can just look at Windah bro, ehehe",Positive,Positive,Positive
,Neutral,Neutral,Neutral
come on bro,Neutral,Neutral,Neutral
pls bro comuk you,Neutral,Neutral,Neutral
"Bro, you're surprised that Windah is playing",Positive,Positive,Positive
"I teach feelings, I teach games about boys, boys approaching girls, bro, you're really really, thank you, bro, Windah, playing the game because my device stopped watching, really respect it, bro, Windah, it's genuine",Positive,Positive,Positive
"Battle Lads is indeed a difficult level, I don't finish fighting seniors and always lose",Negative,Negative,Negative
"keep going bro, the story and characters are really cool, wow waw",Positive,Positive,Positive
windahh uciha,Neutral,Neutral,Neutral
bro next stream cylus cosplay,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
Rafayel's dream arrived,Neutral,Neutral,Neutral
let's play again bro,Neutral,Neutral,Neutral
meters kilometers anying,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
free fire india,Positive,Neutral,Neutral
I bought a cellphone to try out the game,Negative,Negative,Negative
rewatch see Rafayel left read xavier umbrella man,Neutral,Neutral,Neutral
beautiful tara arts,Positive,Positive,Positive
uciha windah,Neutral,Neutral,Neutral
"Come on, let's continue Caleb's story, bro",Neutral,Neutral,Neutral
Sis Winda is funny,Positive,Positive,Positive
"Bro, I hope your fortune goes smoothly, you are healthy and healthy",Positive,Positive,Positive
Fuji context,Neutral,Neutral,Neutral
"Unexpectedly, Bmkg Yaolo, Bang Windah, played the game",Negative,Negative,Negative
Downloading takes hours to load,Neutral,Neutral,Neutral
Evelyn Imroatus is confused,Negative,Neutral,Neutral
don't cut your nails,Neutral,Neutral,Neutral
Rafayel's dream of arriving,Neutral,Neutral,Neutral
really zayne sunghoon enhypen is cute pol mennn,Positive,Positive,Positive
you know kiyowo,Neutral,Neutral,Neutral
"Cheer up bro, pay attention to the little ticks",Negative,Neutral,Negative
"Come on bro, windah up and continue Caleb",Neutral,Neutral,Neutral
It's quite a story bro,Neutral,Neutral,Neutral
"Bro, try playing Soul Land",Neutral,Neutral,Neutral
the elitist bastards are lying down,Negative,Neutral,Neutral
good zayne rafayel good saylus anjir bro sylus was so green flag that he was told to shoot willingly only evelyn,Positive,Positive,Positive
contents of the sultan's girls playing,Neutral,Neutral,Neutral
laugh hilariously,Positive,Positive,Positive
like games,Neutral,Neutral,Neutral
story caleb bangpleasee,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
"Bro, Windah Max, I swear, I'm really bored when I see Sylus not playing Aksjjj",Negative,Positive,Negative
"bro, continue playing the game love and deepspace",Positive,Positive,Positive
"Ken saw the reaction when MC's house was destroyed, part of Bang Windah",Neutral,Neutral,Neutral
zayne girlie here,Neutral,Neutral,Neutral
"Also, love and deepspace male characters, Final Fantasy guys, bro, I miss Brando playing Final Fantasy Rebirth",Positive,Positive,Positive
zayne hidden story hidden interact compare othernn,Negative,Neutral,Neutral
"Bro Zayne, I'm so proud, I like Batt and Zaynee Sylus, really badboy, Jirr",Positive,Positive,Positive
The cut scene is made into JJ Maater Racing which is hilarious,Positive,Positive,Positive
thank God,Neutral,Neutral,Neutral
hahahahaha,Positive,Positive,Positive
"bro, it can't download on the laptop...",Neutral,Neutral,Neutral
You know the game play is great bro,Positive,Positive,Negative
I brought up UI student Rafayel,Neutral,Neutral,Neutral
use an emulator bro,Neutral,Neutral,Neutral
bro story caleb bro greetings boy rafayel,Neutral,Neutral,Neutral
i don't really watch windah but i really respect and adore his ability to adapt and his fast thinking of choosing words carefully he knows he has a big influence as a public person and he knows the responsibility he has as an influential person in the youtubecontent creator community,Positive,Positive,Positive
"It's sad, bro, Windah is trying to date and laugh",Negative,Positive,Negative
I'm curious,Negative,Negative,Negative
"bro, keep going",Neutral,Neutral,Neutral
"bro, play",Neutral,Neutral,Neutral
I hit the jackpot reward,Neutral,Neutral,Neutral
take a pinch of cash,Neutral,Neutral,Neutral
continue please,Neutral,Neutral,Neutral
respect bro windah,Neutral,Neutral,Neutral
that girl friends girls perioddd windahh ate left no crumbs,Neutral,Neutral,Neutral
thanks bro,Positive,Positive,Positive
"Wow, what a clock to play with",Positive,Positive,Positive
"Look like Mama Agnes Brando, please",Neutral,Neutral,Neutral
continued Mr Ucihawin,Neutral,Neutral,Neutral
"I didn't expect it bro, Windah to play the game, lads, it's really fun, especially with the sylus, Omg, thank you bro, sis, it's really cool",Positive,Positive,Positive
I'm late for the week,Negative,Negative,Negative
cool bro,Positive,Positive,Positive
"aaa respect bro, bro",Neutral,Neutral,Neutral
gworll,Neutral,Neutral,Neutral
"but I like it, big thanks bro Windah",Positive,Positive,Positive
just delete it,Neutral,Neutral,Neutral
"Thank you, bro, Windah, main we love you, bro, stay healthy, bro",Positive,Positive,Positive
"Do you know the ID, Bro Windah?",Neutral,Neutral,Neutral
amon mlbb the sylus bro,Neutral,Neutral,Neutral
"Bro, how much is the full GB, the empty GB, what's wrong with the GB?",Negative,Neutral,Neutral
"It's good to explore, I like it",Positive,Positive,Positive
"Watch until the end of the live bus, thank you bro, Windah, the response is positive",Positive,Positive,Positive
The money draining game makes you laugh but it's better to play and meet Mokondo and it's better to hurt you,Positive,Positive,Positive
Nang really finished jt caleb cyborg neng bang nguli moon bring caleb home,Positive,Neutral,Positive
"bro, continue",Neutral,Neutral,Neutral
"boy's reaction, my game is a boy, yep, it's good, the boy is really handsome, brings a romance story, the feeling of missing the battle element, nice game",Positive,Positive,Positive
moved,Neutral,Neutral,Neutral
bro part,Neutral,Neutral,Neutral
"Bro, keep going, bro",Neutral,Neutral,Neutral
"Bro, I'm playing again. I miss playing, bro",Neutral,Neutral,Neutral
xavier cloud,Neutral,Neutral,Neutral
"It's really complicated, my battle card is a bit complicated",Negative,Negative,Negative
the sulis husband,Neutral,Neutral,Neutral
Playing Crazy One Bang Windows is really fun,Negative,Positive,Negative
bro game homichiper,Negative,Neutral,Negative
bcot,Neutral,Neutral,Neutral
stfu touch some grass duh,Negative,Neutral,Neutral
ugh,Neutral,Neutral,Neutral
Wilattae joked darling,Neutral,Neutral,Neutral
wilattae joking darling,Neutral,Neutral,Neutral
ytim,Neutral,Neutral,Neutral
ashiprisilia darling joking,Neutral,Neutral,Neutral
he gb gb just downloaded,Neutral,Neutral,Neutral
"After all, it's just a Caleb card, Colonel's clothes, laughing, a couple of clothes, so I bought laughing",Neutral,Neutral,Neutral
sephiroth sylus,Neutral,Neutral,Neutral
Happy love and depression game bro,Positive,Positive,Positive
Continue the story bro,Neutral,Neutral,Neutral
"bro, continue the game pls",Negative,Neutral,Negative
I swear I'm thinking about Evelynn anjaayyy,Neutral,Neutral,Neutral
bang part banggggg,Neutral,Neutral,Neutral
Brando's ego suits his name,Neutral,Neutral,Neutral
play bro,Neutral,Neutral,Neutral
let's continue,Neutral,Neutral,Neutral
"Thanks bro for playing gems, hope you're healthy and entertained, listen to the little fools, pay attention, bro",Positive,Positive,Positive
name,Neutral,Neutral,Neutral
xavier's old game is up to 1 year old,Negative,Positive,Negative
You're salting bro aowkwoakowk,Neutral,Neutral,Neutral
"Sis, you think it's a piroth",Neutral,Neutral,Neutral
"the comments are really cool, the difference between apk and lower IQ",Positive,Positive,Positive
upload,Neutral,Neutral,Neutral
ID bro add friends,Neutral,Neutral,Neutral
I don't regret it,Neutral,Neutral,Neutral
everything is really pretty,Positive,Positive,Positive
"bro, I'm salting and laughing",Neutral,Neutral,Neutral
evelyn imroatus,Neutral,Neutral,Neutral
"bro, try crazy onee",Negative,Negative,Negative
"Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""_1 (launch) in her part...",Neutral,Neutral,Neutral
The game is really good but it's bad at being a dirty player,Negative,Positive,Negative
"Thanks bro, Windah forgot the point of Caleb's story, bro, it's really exciting",Positive,Positive,Positive
"cool game, straight away you can see a gentleman, an insecure incel guy with an ego like that",Negative,Negative,Negative
"Bro, continue with Caleb's story, let's meet Colonel Apple",Neutral,Neutral,Neutral
continue plssss,Neutral,Neutral,Neutral
It's funny how hard pity it is,Negative,Positive,Negative
"bro, continue the story bro",Neutral,Neutral,Neutral
"bro, thanks for making me install lads at morning, my game is open world but the combat doesn't work, thanks bro for the game review",Negative,Positive,Negative
"Bro, try the battle, Caleb chooses Abyssal Chaos Battle, try using Caleb's myth companion, the battle really doesn't work",Positive,Positive,Positive
"Bro, Windah, come on, Caleb points, come on, come on tomorrow, come on, come on, come on",Neutral,Neutral,Neutral
there's nothing wrong,Negative,Negative,Negative
chris gddhc what rhymes,Neutral,Neutral,Neutral
Gagara saw Bro Windah play the game and know that the game updates will auto download,Negative,Negative,Negative
"Lots of Rafayel parts, proud of Windahhh, I think he's acting cute",Positive,Positive,Positive
"It's great bro, Windah can only play for minutes",Positive,Positive,Positive
caleb cyborg bang windah,Neutral,Neutral,Neutral
bro Caleb,Neutral,Neutral,Neutral
I love Caleb,Positive,Positive,Positive
"The cyborg hands, the body, the necklace make your face sexy, you can't really describe it, it's pretty, gasii kaa",Positive,Positive,Positive
My sylus is handsome,Positive,Positive,Positive
really protects ges windah,Positive,Positive,Positive
"bro, play, bro, let's see the rest of the story, Zayne likes grandma, grandma",Neutral,Neutral,Neutral
"thanks bro, I hope you stop being toxic, you blaspheme, it's weird, the game is really good, it's not just about thirstycrap, the backstory is really cool, the game is really touching, lads, I respect you bro",Positive,Positive,Positive
Anjir Bill laughed,Positive,Positive,Positive
where did I see bro Windah kindle card spicy aowkaowkwowkwoakw expression anjjjj,Neutral,Neutral,Neutral
"Bro, I can request not to play the Tokyo Debunker game, please, but Android only, I know",Negative,Negative,Negative
rispeekkk bro windahhh,Neutral,Neutral,Neutral
"You know, I'm not tone deaf",Neutral,Positive,Neutral
"Thank you bro, price for my favorite game",Positive,Positive,Positive
"as lads player really respect bro, win when playing the game, then the story of Caleb is a man, bro",Positive,Positive,Positive
ID bro windah huh?,Neutral,Neutral,Neutral
winda uciha respect,Neutral,Neutral,Neutral
luvyu boy aq lads bro windah too,Neutral,Neutral,Neutral
"Bro, playing Infinity Nikki Benner is really good",Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
Is it safe to play with laptop RAM?,Positive,Positive,Neutral
"The first time I watched it, I was surprised at how long it was",Positive,Positive,Positive
"Bro, you should play with Mama Agness, look at her expressions and get two if you play, choose wakakakaka",Neutral,Neutral,Neutral
"Bro, Windah is really sensitive, Sylus really is a hot bad boy, but if teenagers like forced stories, handsome guys are really good for laughing, but if I'm older than Zayn, that's really greenflag, bro, please choose according to your character, bro.",Positive,Positive,Positive
I watched Bang Windah for years and didn't comment on the live chat,Positive,Positive,Positive
It really smells like my gacha x got a painful signal x got me laughing again,Negative,Positive,Negative
"It's really exciting, bro",Positive,Positive,Positive
yayyyyy,Neutral,Neutral,Neutral
