Komentar,Label Asli,Prediksi NB,Prediksi SVM
"otome visual novel form, complete package of mini rpg games etc",Positive,Positive,Neutral
"Indeed, if you play the game for hours, you won't feel like the features are really great, thank you for reviewing the game",Neutral,Positive,Negative
"unlock the cyborg story bro, I'm curious about the storyline",Negative,Neutral,Neutral
miss the intro song Amjay plays on Sylus,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
no,Neutral,Neutral,Neutral
"keep going, bro, I like it",Neutral,Neutral,Neutral
"Wow, bro, I got my card, but it's okay, thank you, bro, the respect is cool, positive",Positive,Positive,Positive
games,Neutral,Neutral,Neutral
Zayne is your husband,Neutral,Neutral,Neutral
yyyyaaaa,Neutral,Neutral,Neutral
It's just that Indonesian people don't like this,Neutral,Neutral,Neutral
Thank you Emile,Neutral,Neutral,Neutral
"Thank you, Wind Lope Kebon",Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
finallglorynah people insult your reading achievements to the point of insulting other people's work,Negative,Positive,Negative
Yes,Neutral,Neutral,Neutral
bang character name windah basudara,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
finally,Neutral,Neutral,Neutral
played,Neutral,Positive,Neutral
Uchiha Windah,Neutral,Neutral,Neutral
"Gaje game isn't fun, taste in games, damn bro, absurd games",Negative,Neutral,Negative
"Caleb's story is really exciting, bro",Positive,Positive,Positive
no papa windah,Neutral,Neutral,Neutral
Xavier bro,Neutral,Neutral,Neutral
"It's natural that girls really like games, it's really good, it's beautiful, boys' games are wrong when playing games, I love this game",Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
"Bro, Windah already loves Zayne",Neutral,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
"That's great bro, wasted watching until hours heheheh",Positive,Positive,Positive
"Bro, open the bond, Sylus MC sneaks into Sylus' room",Neutral,Neutral,Neutral
windahbasudara gg bang bocil zayne,Neutral,Neutral,Neutral
"Bro, play crazy ones so the male fans don't get jealous",Negative,Negative,Negative
Yes,Neutral,Neutral,Neutral
Anjay immediately bought the sylus outfit,Neutral,Neutral,Neutral
"Thank you, bro, coal windows",Neutral,Neutral,Neutral
you're crazy,Negative,Negative,Negative
thanks boy,Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"Thank you for listening, please enter the player at the front of the channel",Neutral,Neutral,Neutral
there's nothing wrong with this game,Negative,Negative,Negative
I'm so stupid,Negative,Negative,Negative
do you play the game?,Negative,Negative,Negative
free fire india,Positive,Neutral,Neutral
Rafayel's girlfriend hello,Neutral,Neutral,Neutral
gg trending,Neutral,Neutral,Neutral
will you play this again kind sir at least until calebs character reveal pretty please,Positive,Neutral,Neutral
uppp,Neutral,Neutral,Neutral
"thank you, bro, greetings from Bocil Rafayel",Neutral,Neutral,Neutral
wozzgdash bad infrastructure guy blasphemes,Negative,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
"Thank you, I'm proud to have played the game, I love Papa Brandoo",Positive,Positive,Positive
"Yes, the target of the game is girls, it's normal to watch girls",Negative,Neutral,Negative
cool nanda,Positive,Positive,Positive
"Bro, try playing Crazy Ones which is similar to the game",Negative,Negative,Negative
"but there's nothing wrong with this game, playing while fasting, how do you focus, battle, play claw machine, play cards, upgrade memory cards, etc. stereotypes circulating around LBA games, blah, blah, it's true, thank you bro, windah, proof",Negative,Negative,Negative
"Thank you bro for playing, lads",Neutral,Neutral,Neutral
"Bro, Windah plays the game I like",Negative,Neutral,Negative
"Bro, Windah, continue Caleb's story, pls",Neutral,Neutral,Neutral
the flood of male comments is drowning,Neutral,Positive,Neutral
"I wish you good health, bro, good luck",Positive,Positive,Positive
"keep going, bro, don't you listen to the provok leaks, bro, you like game stories, bro, facebluewideeyesfacebluewideeyesfacebluewideeyes",Negative,Neutral,Neutral
"Thank you bro for playing the game, we love you and always support you",Positive,Positive,Positive
"gg bro, thank you, continue laughing from Bocil Caleb",Neutral,Neutral,Neutral
Continue leeeee thanks bro Windahhh,Positive,Positive,Positive
"Bro, continue with Caleb's story, let's meet Colonel Apple",Neutral,Neutral,Neutral
pest,Neutral,Neutral,Neutral
otome games,Neutral,Neutral,Neutral
continue,Neutral,Neutral,Neutral
"So, this haluu game makes girls really goosebumps",Negative,Positive,Negative
"Respect bro, greetings from Bocil Sylus",Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"saphiraabelia comedy game deck is entertaining to play, it's better to play Epep",Positive,Positive,Positive
wow,Positive,Positive,Positive
oh my,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
you know kiyowo,Neutral,Neutral,Neutral
tf,Neutral,Neutral,Neutral
"Thank you, bro, playing with this is enthusiastic, bro, Windah",Positive,Positive,Positive
"bro, play crazy one",Negative,Negative,Negative
"thank you, proud to play, lad",Positive,Positive,Positive
"Thank you bro, I see that my cellphone doesn't support downloading",Neutral,Neutral,Neutral
lovyu bangwin,Neutral,Neutral,Neutral
Rafayel left read Rafayel UI student Zayne thought Zayne was playing around with Xavier being a recall worker,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
gg,Neutral,Neutral,Neutral
"bro, play airstrike in the game legend gamehouse for your kids",Negative,Positive,Negative
Yes,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"Bro, let's play while the special banner is Zayneee",Positive,Positive,Neutral
"lh boty even though it's a game for girls, guys, it's for girls' fanservice",Negative,Negative,Negative
"Wow, Jir Arijumanjing's game is really good",Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
bcot,Neutral,Neutral,Neutral
haters detection,Neutral,Neutral,Neutral
Guys watching Bang Windag's fans,Neutral,Neutral,Neutral
advertising video,Neutral,Neutral,Neutral
"bro, thanks, I can't play games, I can just look at Windah bro, ehehe",Positive,Positive,Positive
"I can't play English, wow, by the way, changing to Indonesian doesn't work",Positive,Negative,Negative
evve,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
insicur,Neutral,Neutral,Neutral
"yeah, really",Positive,Neutral,Positive
no green flag bjir,Positive,Neutral,Negative
jetz d,Neutral,Neutral,Neutral
I'm proud to be enthusiastic,Positive,Positive,Positive
thank you bro windahh,Neutral,Neutral,Neutral
gg bro windah,Neutral,Neutral,Neutral
big respect bro windah,Neutral,Neutral,Neutral
"Don't continue, bro, it's not good",Negative,Positive,Positive
great great,Positive,Positive,Positive
"Bro, I'm a girl commenting",Neutral,Neutral,Neutral
yes darling,Neutral,Neutral,Neutral
"Thank you, bro, I'll crash, I'm really relieved to play until the clock, thank you, bro, Windah",Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
gg trending,Neutral,Neutral,Neutral
gg bro little boy caleb,Negative,Neutral,Negative
"Bro, you don't force requests for the glass delivery game, bro. If you play, Bang Windah, it's not that hard, bro.",Negative,Neutral,Negative
"Yes, the story really highlights the otome",Positive,Neutral,Positive
"respect to you, thanks bro, Windah for playing the game",Negative,Positive,Negative
comment for a moment end like what is wrong with u,Negative,Neutral,Neutral
"Thank you bro, Windah, playing the game, my eyes are refreshing when I see a handsome boy, waiting for the part, bro, I'm really curious, Caleb",Positive,Positive,Positive
Why are you paying attention?,Neutral,Neutral,Neutral
"thanks bro for playing the game, I'm really grateful to see this game in person, it's true that I can't play with the problem of cellphone RAM",Negative,Positive,Negative
yeah,Neutral,Neutral,Neutral
continue please,Neutral,Neutral,Neutral
finallyyyy thank you bro windah,Neutral,Neutral,Neutral
"Bro, playing the yellow Caleb chapter is unlocked",Neutral,Neutral,Neutral
njayyyy cool,Positive,Positive,Positive
"Laughing, female viewers, Bang Windah, saw all the live chat",Positive,Positive,Positive
proud to play the game homichiperrr plssss check it out banh sereettt,Positive,Positive,Positive
Rest,Neutral,Positive,Neutral
"I'm a guy, I play games, I'm curious, I play and discuss so far, I have fun games when I battle against wanderers, hahah, I like scifi story themes",Positive,Positive,Neutral
Yes,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"thanks bro, I hope you stop being toxic, you blaspheme, it's weird, the game is really good, it's not just about thirstycrap, the backstory is really cool, the game is really touching, lads, I respect you bro",Positive,Positive,Positive
Gas playing games again bro,Neutral,Neutral,Neutral
yeaaaaaaaaa,Neutral,Neutral,Neutral
nice,Positive,Positive,Positive
the game is cool,Negative,Positive,Negative
thanks boy,Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
yes by the way choi crystal mentioned,Neutral,Neutral,Neutral
worth buying DM proud in exchange for Aurum Pass tickets but that's it,Positive,Positive,Neutral
"female fans, bro",Neutral,Neutral,Neutral
"thank you bro, wait for the part",Neutral,Neutral,Neutral
I'm salting,Neutral,Neutral,Neutral
"Evelyn is cute, bro, you have a crush",Positive,Neutral,Neutral
,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
you time,Neutral,Positive,Neutral
Nang really finished jt caleb cyborg neng bang nguli moon bring caleb home,Positive,Neutral,Positive
you,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"finally bro, thanks for playing the game",Negative,Positive,Negative
instructor,Neutral,Neutral,Neutral
moved,Neutral,Neutral,Neutral
Gamon Lee catfish jellyfish,Neutral,Neutral,Neutral
thank you bro windahhh,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
by the way thank you play the game brogg aksaokwao love bro windah coal rispekk really alapyu kebon bro,Positive,Positive,Positive
Thank you bro for playing the game when my device supports playing lads bro Windah the best,Positive,Positive,Positive
I swear I can't download RAM,Neutral,Neutral,Neutral
"Bro, how much is the full GB, the empty GB, what's wrong with the GB?",Negative,Neutral,Neutral
streamer ready,Positive,Positive,Positive
laugh,Positive,Positive,Positive
girl's comment,Neutral,Neutral,Neutral
"Great laugh, bro, try downloading it, really",Positive,Positive,Positive
donghua,Neutral,Neutral,Neutral
"It's really fun to play, bro",Positive,Positive,Positive
gurlsss,Neutral,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
cute windy downfall,Positive,Neutral,Neutral
"Oh, that's a really good marathon, it's a great time, hehe, thanks bro for playing the gin simulator",Positive,Positive,Positive
"I'm a guy who plays lads, I'm not interested in looking for romance, I prefer combat, so far the dash is really good, there's no limit, the character build is quite difficult, I really need a bottle of exp, the up story materials are good, the graphics are okay, the game rating really pays attention to the players.",Positive,Positive,Positive
squirt watching bro,Neutral,Neutral,Neutral
What's wrong with seeing it come to that?,Negative,Negative,Negative
"thanks, bro, Windah Gemoy, played the game, bro, bro",Negative,Positive,Positive
"bro, you don't want the fear and hunger game, bro, come on, bro",Negative,Neutral,Negative
"bro, it's broken up",Negative,Neutral,Neutral
watch it again,Neutral,Neutral,Neutral
ugh,Neutral,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
yeah sephirot short hair anyway miss final fantasy,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
The grossness isn't really funny,Positive,Positive,Positive
yes,Neutral,Neutral,Neutral
seconds seconds crashes,Neutral,Neutral,Neutral
girls in capers cuhhh,Neutral,Neutral,Neutral
auliacahaya waduuu meet you aullll,Neutral,Neutral,Neutral
I brought up UI student Rafayel,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
your face is cute fika,Positive,Positive,Neutral
"Blaspheming the game without thinking with your brain, the girls version of the KY Gin game is serious. Respect Bang Windah's response",Negative,Positive,Negative
"Thank you, bro, Windahhh, I really play, don't forget the capers, bro, don't forget to rest, darling, Papa Brandoo, lots of it",Positive,Positive,Positive
"I'm a speechless guy, bro, Windah said it really",Positive,Neutral,Positive
"Thank you, bro, for playing the game, lads, support you, bro, Windah",Negative,Positive,Negative
Yes,Neutral,Neutral,Neutral
It's a bit blasphemous,Neutral,Positive,Neutral
How come it doesn't crash bro?,Neutral,Neutral,Neutral
"I was late watching it and said thanks bro, try the game",Negative,Negative,Negative
"Bro, actually, you're reviewing the star of BattleTraining, laughing or not, don't you try it?",Neutral,Neutral,Neutral
"Thank you bro, I've played this game, we love youuuuuuuuuuu",Positive,Positive,Positive
thanks bro,Positive,Positive,Positive
special game for boys,Negative,Positive,Negative
thanks bro,Positive,Positive,Positive
the live chat,Positive,Positive,Positive
"I didn't expect the gameplay to be good, the story is moving, I'm vn",Positive,Positive,Positive
I'm afraid of Caleb bro,Negative,Neutral,Neutral
"Very good words, bro, thanks for playing the game",Positive,Positive,Positive
Noctis' white hair final fantasy name Ganjar,Neutral,Positive,Neutral
yeah,Neutral,Neutral,Neutral
paysgege of the fair sex,Positive,Neutral,Neutral
"There's nothing wrong with an RPG game that has action, the graphics are cool, it's like that if a guy plays it",Negative,Positive,Positive
,Neutral,Neutral,Neutral
Uchiha Windah was born,Neutral,Neutral,Neutral
for what's sake sii bggg laughed,Positive,Positive,Positive
"Bro, if you're looking for a cozy open world game like Genshin, try playing Infinity Nikki, don't force it",Negative,Neutral,Negative
"Zayne really made me really ughhh, bro, I was immediately attracted to laughing",Positive,Positive,Positive
yeah,Neutral,Neutral,Neutral
You think it's a shame not to watch Windah,Neutral,Positive,Neutral
friends girls,Neutral,Neutral,Neutral
"Bro, I like Zayne, all in Zayne, soft boy, great gentleman of the world",Positive,Positive,Positive
"Thank you so much, I've been waiting for the week",Positive,Neutral,Neutral
"Bro, promise I'll try Caleb's story",Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
bro story caleb,Neutral,Neutral,Neutral
lightphocnix is ​​trying to find out about this bokef game,Negative,Negative,Negative
Sylus's wife is cool,Positive,Positive,Positive
yeah,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
healthy comments,Positive,Positive,Positive
yes bro,Neutral,Neutral,Neutral
"wow, thanks, add pull feiro",Positive,Positive,Positive
Zayne my future husband,Neutral,Neutral,Neutral
"Thank you, bro, for playing the game, lads, you really respect it, bro",Negative,Positive,Negative
I'll just type,Neutral,Neutral,Neutral
"Anjir is in a really good mood, letsss goo girllsssss",Positive,Positive,Positive
Rafayel left read,Neutral,Neutral,Neutral
"thank you so much bro, but the game gives positive feedback, it's a shame that the gacha didn't get a solar pair, so I'll try the battle, so it's cool, I hope it's part, it doesn't feel original until the hour, thank you, bro, healthy success",Positive,Positive,Positive
Keyen bro,Neutral,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
I'm curious,Negative,Negative,Negative
yeah,Neutral,Neutral,Neutral
"love playing the game love and deepspace, it's fun, wow",Positive,Positive,Positive
"so that you feel cool, you don't appreciate it, it's better to keep quiet, don't waste your energy blaspheming the adults for a bit, eh, yes, you're a kid, no brains telling the adults",Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
"Wow, thanks for playing the frying game, what a brainless netizen",Negative,Positive,Positive
very funny,Positive,Positive,Positive
"yeah, thanks bro",Positive,Neutral,Positive
"The game is for girls, Bang Windah, it's live for girls, you know",Negative,Positive,Negative
Yes,Neutral,Neutral,Neutral
fyi the title is love and deep space but love and depression,Positive,Positive,Positive
test,Neutral,Neutral,Neutral
febrianputratriatama handsome febri,Positive,Positive,Positive
yeah lets go up,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
The game makes you really miss playing it again,Negative,Positive,Negative
you're commenting,Neutral,Neutral,Neutral
meters kilometers anying,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
Sipp bro,Neutral,Neutral,Neutral
so what are you afraid of competition?,Negative,Neutral,Neutral
"It's funny, don't you think this game is a laughing game?",Negative,Positive,Negative
yeah,Neutral,Neutral,Neutral
sotoy inspiration,Neutral,Neutral,Neutral
seeeeeeee,Neutral,Neutral,Neutral
"bro, girl games, Bang Windah, play games, watch girls take turns playing Korean girl games yesterday, it was cool, cool",Positive,Positive,Positive
"You know, I'm not tone deaf",Neutral,Positive,Neutral
laughing red face,Neutral,Neutral,Neutral
it's dirty,Negative,Neutral,Neutral
huh,Neutral,Neutral,Neutral
Thank you bro for the review,Neutral,Neutral,Neutral
thank you bro,Neutral,Neutral,Neutral
anjay,Neutral,Neutral,Neutral
carbide bits,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
your carineli,Neutral,Neutral,Neutral
aim,Neutral,Neutral,Neutral
windahbasudara stop spam handsome game game febri game halu acute pain enjoy serang bocil halu,Positive,Positive,Negative
k viewers just in hours danggg,Neutral,Neutral,Neutral
"caleb locks mc up so he doesn't get nasty, he's still aware of being obsessive like matthias manhwa cry or better yet beg",Negative,Neutral,Neutral
"Hadeh, I'm really monitoring the insect guy",Positive,Neutral,Positive
"Bro, try playing Detroit Become Human",Neutral,Neutral,Neutral
"Ignore the hater talk, bro, enjoy the game with beautiful potential",Positive,Positive,Positive
"If I'm not mistaken, that's the story",Neutral,Neutral,Neutral
"I'm playing, waiting for the part to arrive",Neutral,Neutral,Neutral
zayne eight pack windah one pack,Neutral,Neutral,Neutral
"Thank you bro, Windahhh, great",Positive,Positive,Positive
"Raisa, try checking the features, etc. of Nikki Infold's music",Neutral,Neutral,Neutral
"Busett, the comment is a girl",Neutral,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
sad game just closes romance,Negative,Negative,Negative
"saylus is good, my favorite is saylus",Positive,Positive,Positive
carry on bro,Neutral,Neutral,Neutral
windah as khodam life evelyn gud ending protected evelyn blokx choose a guy wearing appropriate clothes,Positive,Neutral,Neutral
"Thank you bro, play the game, continue the story, bro, after completing the mission, the battle option appears, open orbit, field, grinding battle, it's hard, the battle is abysal chaos, sub battle story, mission with companion rawards, bang story, continue to meet Caleb under the title, Homecoming Wings, pilot, brief character, Xavier, Deepspace Hunter, Zayne, Akso Hospital doctor, Rafayel, hug, get to know Sylus, leader of the dark organization, Onychinus N Zone, Caleb, Colonel, Farspacefleet pilot, Thank you, bro, I like Sylus. really sweet like xixixixixi",Negative,Positive,Positive
you're really handsome,Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
thank you bro,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
why is the live chat missing guys?,Negative,Positive,Positive
"What are you doing, cool bro, what a pathetic attention seeker",Negative,Neutral,Neutral
"cool, proud",Positive,Positive,Positive
play x games,Neutral,Neutral,Neutral
ita,Neutral,Neutral,Neutral
"keep going, bro",Neutral,Neutral,Neutral
Evelyn's name is proud,Positive,Positive,Positive
Thank you bro Windah,Neutral,Neutral,Neutral
helmiyahya jokes are supposed to be funny tho,Positive,Positive,Neutral
,Neutral,Neutral,Neutral
bro game,Negative,Negative,Negative
insecure indonesian guy i feel bad for you,Negative,Negative,Negative
I'm so stupid,Negative,Negative,Negative
"Bro, handsome windah",Positive,Positive,Positive
"I teach feelings, I teach games about boys, boys approaching girls, bro, you're really really, thank you, bro, Windah, playing the game because my device stopped watching, really respect it, bro, Windah, it's genuine",Positive,Positive,Positive
bro homichiper,Neutral,Neutral,Neutral
"The target market is you guys, otome games, fan service games, big breasted naked girls, don't you brag about it?",Neutral,Neutral,Neutral
please continue bro,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"Respect, thanks bro, Windah for playing",Positive,Positive,Positive
"Honestly, if someone doesn't get angry first, Windah fans won't have a problem with the game, fans will say they're angry because Gin's game is bad for Windah.",Negative,Negative,Negative
"Yes, Bro, Windah feels at home playing the game",Negative,Neutral,Negative
yeah,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
Insecure is a guy who wears a cool cover,Negative,Negative,Negative
respect bro,Neutral,Neutral,Neutral
"The YouTuber won't be playing live for a second, bro",Positive,Neutral,Positive
I laughed for a minute when the sylus parted,Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
girls,Neutral,Neutral,Neutral
"Bro, invite Sis Agnes to see the girl's reaction. I'm really curious about the Indonesian girl watching",Negative,Positive,Negative
Reizqqa I'm sad I can't play,Negative,Neutral,Neutral
"the game world is used as a reference for rl, it's interesting, the game world, the characters have developed perfectly, teach yourself if you treat the game world, please wake up, humans are not perfect, humans are the nature of redflag",Negative,Positive,Negative
play bro,Neutral,Neutral,Neutral
Thank you bro Windaah,Neutral,Neutral,Neutral
proud calebbbbplissss that's really sweet,Positive,Positive,Positive
"for real, it's not wrong, the game is hilarious, I don't really understand the original gameplay, how do you know how to blaspheme Jomakjomok?",Positive,Positive,Positive
"Bro, I'm asking for Android, eat GB, yes, download it, eat GB, login GB minutes",Neutral,Neutral,Neutral
"Thank you bro, it's really fun to download too",Positive,Positive,Positive
thank youuu bro windah biggggg loooove,Neutral,Neutral,Neutral
bangh ken bangh windah continue this,Neutral,Neutral,Neutral
yeahyyyy,Neutral,Neutral,Neutral
"Caleb, please bro",Neutral,Neutral,Neutral
"For me, Mr. Uryu's facial structure is ryuken when I don't wear glasses",Neutral,Neutral,Neutral
"finally bro, retake the video",Neutral,Neutral,Neutral
wow,Positive,Positive,Positive
Eryoshinori told you to play gubluq,Neutral,Neutral,Neutral
"It's great playing the game, I downloaded it",Positive,Positive,Positive
salting is hilarious,Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
Alamak Rafayel has it,Neutral,Neutral,Neutral
thx u so much bro we are proud of u u really a kind and mature man,Positive,Positive,Positive
thanks bro windah,Positive,Positive,Positive
"Thanks bro, Windah forgot the point of Caleb's story, bro, it's really exciting",Positive,Positive,Positive
"Thank you bro, playing the game is really fun",Negative,Positive,Negative
Yes,Neutral,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
insotoro,Neutral,Neutral,Neutral
"Bro, Windows wore a Sukuse wig yesterday when playing Lads so that he wouldn't be handsome compared to the character in the game",Positive,Positive,Negative
yeah,Neutral,Neutral,Neutral
"I'm so late watching it, sorry bro, I'm disappointed",Negative,Negative,Negative
I agree,Neutral,Neutral,Neutral
yeah ugh,Neutral,Neutral,Neutral
girl watching,Neutral,Neutral,Neutral
"I know Windah Uchiha, Isseinugroho, you're cool, Uchiha, I'm willing to insult a lot of games",Positive,Neutral,Positive
I'm waiting for a real hilarious laugh,Positive,Positive,Positive
thank you bro,Neutral,Neutral,Neutral
"Bro, great outfit, choose a bjir towel",Positive,Positive,Neutral
"Thanks for playing the game, thanks for not having double standards",Neutral,Positive,Positive
"Oh my, this live bro, Windah, is so funny",Positive,Positive,Positive
ballzoyy looks so handsome little you,Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
"Respect bro, keep going next bro, open another epic ending",Positive,Neutral,Neutral
"Serenaklauvitz Sis Unlock Myth Control removes memory so it can't be accessed Professor I realized that removing the MC like that is indeed a bad job, ever. Next chapter Kaya Sylus appears with Caleb main story discussing Onychinus",Negative,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
carbide fans,Neutral,Neutral,Neutral
"The MC's name is Windah Evelyn, Aww Loveyu's name is Windi",Positive,Neutral,Neutral
"Indriaulia bjir, why are you here?",Neutral,Neutral,Neutral
yes,Neutral,Neutral,Neutral
graphic remember dragon raja,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
cool bro,Positive,Positive,Positive
average nolep obscene boy,Negative,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"Bro, bro, I can't hear the sound, it's so salty, it's so bad",Negative,Positive,Neutral
gg bro,Neutral,Neutral,Neutral
"No hunter, bro, Windah got a minute too",Neutral,Neutral,Neutral
playing boy girl bro windah,Neutral,Neutral,Neutral
"Wait for the part, bro Windah",Neutral,Neutral,Neutral
"great, bro, Windah, turning it around, it's really chaotic, until it's cool, bro, gg, really salute you, Bro, Windah, hopefully in the future, gin, don't get tired of making a fuss, brothers and sisters",Positive,Positive,Positive
"If you play a girl, it's not strange if you play a strange boy, Yoshitoyuji",Negative,Negative,Negative
Thank you bro for playing the game,Negative,Negative,Negative
player lads respect sm bang windah game prices games specifically for girls gin proud of you bro,Positive,Positive,Positive
"I don't like close, why watch it and don't get attention?",Neutral,Neutral,Neutral
"To be honest, when I watched Bro Windah play this game, I didn't laugh out loud",Positive,Positive,Positive
yeah yeah yeah,Neutral,Neutral,Neutral
What are you doing watching Windah Stream?,Neutral,Neutral,Neutral
